tconst,titleType,originalTitle,startYear,runtimeMinutes,numVotes,ordering,region,main_genre,secondary_genre
1509787,movie,A Bag of Hammers,2011,85,3077,4,CA,Comedy,Drama
1510938,tvMovie,The Sunset Limited,2011,91,30955,11,CA,Drama,No tiene
1517177,movie,3,2010,119,5315,19,CA,Comedy,Drama
1518812,movie,Meek's Cutoff,2010,104,14654,3,CA,Adventure,Drama
1521197,movie,Anonymous,2011,130,41606,36,CA,Drama,Thriller
15213278,tvMiniSeries,LuLaRich,2021,101,3960,15,CA,Documentary,No tiene
1531924,movie,The Disappearance of Eleanor Rigby: Him,2013,89,10129,1,CA,Drama,Romance
1533117,movie,Rang zi dan fei,2010,132,12424,2,CA,Action,Comedy
1535109,movie,Captain Phillips,2013,134,475408,6,CA,Action,Biography
1535491,movie,Ui-hyeong-je,2010,117,4130,14,CA,Action,Drama
1540133,movie,The Guard,2011,96,92587,14,CA,Comedy,Crime
1545103,movie,Rush: Beyond the Lighted Stage,2010,107,4736,4,CA,Biography,Documentary
1545759,movie,Ã bout portant,2010,84,14387,22,CA,Action,Crime
1551948,tvSeries,Dance Academy,2010,24,4908,21,CA,Drama,Family
1554523,movie,Shan zha shu zhi lian,2010,114,3463,9,CA,Drama,Romance
1556190,movie,Nostalgia de la luz,2010,90,5831,13,CA,Documentary,No tiene
1558250,movie,GasLand,2010,107,11018,6,CA,Documentary,No tiene
1565958,movie,Les Ã©motifs anonymes,2010,80,11776,1,CA,Comedy,Romance
1566648,movie,Waiting for 'Superman',2010,111,11561,9,CA,Documentary,No tiene
1567233,movie,Forks Over Knives,2011,96,12510,11,CA,Documentary,No tiene
1567254,tvSeries,The Good Guys,2010,60,7491,10,CA,Action,Comedy
1568334,movie,The Tillman Story,2010,94,5313,10,CA,Biography,Documentary
1572491,movie,Balada triste de trompeta,2010,107,14890,10,CA,Adventure,Comedy
15777864,tvMovie,Hilda and the Mountain King,2021,85,3165,16,CA,Adventure,Animation
15792042,tvSeries,Am I Being Unreasonable?,2022,29,3300,22,CA,Comedy,Thriller
1579361,movie,Chasing Ice,2012,75,8786,10,CA,Biography,Documentary
1582248,movie,Puncture,2011,100,24538,18,CA,Biography,Drama
1582453,tvSeries,Harry's Law,2011,43,6493,10,CA,Comedy,Crime
1582456,tvSeries,Prime Suspect,2011,60,3953,4,CA,Crime,Drama
1582458,tvSeries,Chase,2010,60,7301,13,CA,Action,Crime
1584016,movie,Catfish,2010,87,43363,8,CA,Documentary,Drama
1586752,movie,Machine Gun Preacher,2011,129,67679,19,CA,Action,Biography
1587694,tvSeries,Off the Map,2011,42,5230,7,CA,Action,Adventure
1587729,movie,Pohwasogeuro,2010,120,5680,6,CA,Action,Drama
1588337,movie,Des hommes et des dieux,2010,122,15827,6,CA,Drama,History
1592281,movie,Take This Waltz,2011,116,29671,14,CA,Comedy,Drama
1596356,tvSeries,Hellcats,2010,60,10802,6,CA,Comedy,Drama
1599357,tvSeries,The Gates,2010,60,8343,18,CA,Crime,Drama
1599975,movie,La princesse de Montpensier,2010,139,4163,26,CA,Action,Drama
1600199,tvSeries,Franklin & Bash,2011,60,14187,8,CA,Comedy,Crime
1602098,movie,Albert Nobbs,2011,113,25144,8,CA,Drama,Romance
1605717,movie,Frank,2014,95,80873,18,CA,Comedy,Drama
1608383,tvSeries,Black Dynamite,2011,22,4731,2,CA,Action,Adventure
1615926,tvSeries,Running Wilde,2010,30,3210,11,CA,Comedy,No tiene
1620935,movie,Bleed for This,2016,117,28674,10,CA,Biography,Drama
1621045,movie,Think Like a Man,2012,123,49017,30,CA,Comedy,Romance
1623742,tvMovie,Cinema Verite,2011,86,3918,2,CA,Drama,No tiene
1626146,movie,Hector and the Search for Happiness,2014,120,49551,15,CA,Adventure,Comedy
1629705,movie,Blackthorn,2011,102,10154,8,CA,Action,Adventure
1629757,movie,Chasing Mavericks,2012,116,33799,14,CA,Biography,Drama
1630036,movie,Courageous,2011,130,21172,22,CA,Drama,No tiene
1630574,tvSeries,Breaking In,2011,30,7552,4,CA,Comedy,Crime
